id,LOC_x,index,processed_tweets,place,loc_pretrained,sentiment_scores
1.06e+18,red and pink sweet and cute theme,,,,,0.0
1.07e+18,nee soon medical centre,,,,,0.0
1.07e+18,henderson waves,,,,,0.0
1.07e+18,young living,,,,,0.0
1.07e+18,thomson medical,,,,,0.0
1.09e+18,uluwatu cliff temple,,,,,0.0
1.1e+18,flower dome,,,,,0.0
1.1e+18,brighton accessories house,,,,,0.0
1.1e+18,beejies house,,,,,0.0
1.11e+18,grand prix,,,,,0.0
1.11e+18,souffles,,,,,0.0
1.11e+18,baker  cook,,,,,0.0
1.12e+18,starbucks,,,,,0.0
1.12e+18,tiong bahru station,,,,,0.0
1.12e+18,clarke quay,,,,,0.0
1.12e+18,tuas,,,,,0.0
1.12e+18,jurong east,,,,,0.0
1.13e+18,como dempsey,,,,,0.0
1.13e+18,beach road prawn noodle,,,,,0.0
1.13e+18,siloso beach resort sentosa,,,,,0.0
1.13e+18,pasir ris,,,,,0.0
1.13e+18,bishan mrt,,,,,0.0
1.15e+18,skinny cakes,,,,,0.0
1.15e+18,city square mall,,,,,0.0
1.15e+18,lim chu kang,,,,,0.0
1.16e+18,korean fusion bbq,,,,,0.0
1.16e+18,sumang lrt station,,,,,0.0
1.16e+18,little india,,,,,0.0
1.17e+18,little india,,,,,0.0
1.17e+18,woodlands checkpoint,,,,,0.0
1.17e+18,reflections at bukit chandu,,,,,0.0
1.17e+18,brighton accessories house,,,,,0.0
1.17e+18,jurong west boon lay secondary school,,,,,0.0
1.17e+18,bishan mrt,,,,,0.0
1.19e+18,reflections at bukit chandu,,,,,0.0
1.19e+18,sentosa island,,,,,0.0
1.2e+18,pulau ubin,,,,,0.0
1.21e+18,little india,,,,,0.0
1.22e+18,jurong east,,,,,0.0
1.22e+18,first centre,,,,,0.0
1.23e+18,tau2 bila,,,,,0.0
1.23e+18,bau ketiak,,,,,0.0
