index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,id,processed_tweets,LOC,place,loc_pretrained
baked,0.193050832,-0.49592182,0.924118876,0.143547431,0.392253727,0.321868032,-0.940713823,-0.56545651,0.03026378,-0.507348776,-1.157301188,-0.060040269,-2.622701645,-0.33227855,-0.18799077,-0.058200076,0.448920608,-1.396388292,-0.036545027,-0.058219448,-0.982438922,0.011907522,-0.264523834,-0.599825323,0.009896048,1.369792938,-0.780405879,0.106964625,0.461801529,-1.395725369,0.026290407,1.472653985,-1.51658082,-0.135522619,-0.890890598,0.006660616,0.499551892,-0.505228758,0.82910794,1.233428001,0.243313834,-0.574617684,0.429739475,-0.844254792,1.524568319,0.469902545,0.947470784,-0.306921303,-0.590617478,0.644106388,4.52322E+17,smell of freshly baked breads  march w 2 others http 4sq com1je0cf9 pic twitter comerduyyc3mi,,"Central Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52323E+17,my urine got the belvedere smell feel like drinking it and see it got the same feel and taste as bel,,"North-East Region, Singapore",
bad,0.601845264,-0.136519447,-0.192088112,-0.101679184,-0.191287696,0.55106473,1.152616858,0.391643763,-0.117172316,0.629108489,-0.256178081,-0.167890638,-5.475200653,0.01061705,0.080556095,0.020009801,0.319019943,-0.42633462,-0.881002903,-0.30148232,-0.222308114,0.625588775,0.249655843,0.49345085,0.074180864,0.522729039,-0.079148419,0.154671609,-0.520630419,-0.294962645,-0.420823395,-0.079809435,-0.417238355,-0.203642711,-0.330285668,0.525584519,-0.811827838,-0.421147645,-0.020948486,0.166703925,-1.342509627,0.169287831,0.117840596,0.306618631,-0.030037392,-0.419473797,0.546462715,0.596984804,-0.280781418,0.542566717,4.52381E+17,bad smell bad smells everywhere,,"Central Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52396E+17,twg milk oolong really not bad leh love the smell of the milk based tea but subtle and light milk http instagram compmz7zwutbky,,"Central Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52442E+17,this smell i like,,"East Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52614E+17,smell something so nice at the mrt here darn hungry  ,,"East Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5265E+17,but its the smell of scotch whiskey for sure,,"West Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52654E+17,this kind of things must chemical wash la or else it will continue to smell like a dead rat in my car,,"East Region, Singapore",
car,-0.570702314,-0.554077029,-1.020359397,-0.023014633,-0.232378483,-0.029271292,0.578195095,-0.057558622,0.848991096,-0.093823515,0.450703591,0.360795587,-4.403287411,-0.04104029,0.835680127,1.12189126,-0.372194737,-0.282198668,-1.443949461,0.303561568,-0.133064061,-0.837377489,0.101782925,-0.517591715,-0.779727221,-0.163606375,-1.272805572,0.404625833,-0.35354948,0.253960073,-0.786214769,-0.078399405,-0.408946842,-0.481707871,0.774121523,0.931871653,-0.183730543,0.141321808,0.564399481,-0.248101696,-0.40777126,1.213643432,-0.893536508,0.051164337,0.277669132,-0.127259299,0.378890842,0.444264948,0.670530915,0.189855203,4.52656E+17,the smell of the car headache,,"West Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52671E+17,why does my pillow suddenly smell like poo o o,,"West Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52681E+17,hor this cabbie just smoked  i can smell u ,,"North-East Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52764E+17,i smell my mothers food,,"West Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52778E+17,smell liao heahache sia,,"Central Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52794E+17,smell like vanilla fav cigss down here,,"North-East Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52994E+17,smell mcm bau tong sampah,,"North-East Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53007E+17,my mood so foul alr and your bloody smell still come out cb go away,,"North Region, Singapore",
finally,-0.186683312,0.344879568,0.362797558,-0.947714508,-0.666986227,0.039599545,1.361456752,-0.106906392,0.519168973,-0.099069148,0.011499413,-0.019555893,-4.543214798,0.849797606,-0.349120021,-0.058290843,-0.389051348,0.663297713,-1.008832693,-0.287506551,0.041688967,0.183250099,-0.313734204,0.023835706,-0.225336924,0.958100796,-0.529547513,-0.649836421,0.828184187,-0.051998086,-0.710547984,0.580736816,-0.553911269,-0.28383711,0.131086782,0.522458375,0.025252668,0.056519207,0.080128424,0.885578632,-0.299649626,0.177728906,0.605237722,0.603166103,0.774662673,-0.890012383,-0.10453359,-0.450591147,-0.566538036,0.426442444,4.53054E+17,in school finally smell fresh air ,,"North Region, Singapore",
pee,-0.696211636,0.679065704,0.532443881,-0.218382046,-0.498627424,0.14253965,0.531557441,0.138830185,0.058913197,0.686587811,-0.240426198,-0.072117463,-2.90579772,-0.207694396,-0.016693434,0.856575429,0.221668184,-0.861353219,-0.351788849,-0.439797074,-0.057699762,0.100652926,0.451744914,0.92075187,0.119275846,0.020145863,-0.263043284,0.996857464,-0.387195379,0.28685385,-0.088452101,0.882091343,0.664323449,-0.256669462,-0.399590224,0.124177188,0.064387374,-0.042449098,0.477237672,0.607812643,-0.063577257,0.717420399,-0.904374599,0.112114154,0.831702709,0.314306289,0.587600112,0.845114052,0.029814744,0.690204382,4.53101E+17,theres a pee smell on the train ,,"North-East Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53144E+17,hermenc smell your mother cb until want puke,,"Central Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5318E+17,my bag smell of sweets damn gross oh my,,"West Region, Singapore",
showered,-1.179716825,0.245872602,1.626735449,-0.215091392,-0.45009011,-0.174178585,-0.026364805,-1.151546836,-0.388709605,0.451653928,-0.677909672,-1.063842058,-1.792462111,1.014175773,-0.802262485,0.676313102,-0.921488225,-1.145022273,-1.274422288,-0.667645752,-1.032734275,0.07647267,-0.421923488,-0.952495575,-0.067291461,1.181405425,-0.564583242,-0.880787253,-0.141139627,0.150297239,0.009673689,1.508353353,0.645431876,-0.053645436,-1.023880243,-0.255704343,-0.373888165,0.65340513,0.160145625,1.464612842,1.483006358,0.747563362,0.529876292,-0.814339578,0.607910275,-0.618486166,0.755895257,0.128987521,-1.064903259,-0.101744257,4.53192E+17,someone decided to smell like he showered in fish sauce tonight at singapore http 4sq compfpcpv,,"Central Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53222E+17,i didnt expect my hair to smell so good that i turn over and go  ,,"North-East Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53318E+17, buay kun leh  dont have you smell here ,,"Central Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53421E+17, even if we dont talk about it the sound and the smell will forever linger in our minds and noses haha ,,"East Region, Singapore",
