index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,id,processed_tweets,LOC,place,loc_pretrained,sentiment_scores
bad,0.6018452639999999,-0.136519447,-0.192088112,-0.101679184,-0.191287696,0.55106473,1.152616858,0.391643763,-0.117172316,0.6291084889999999,-0.256178081,-0.167890638,-5.475200653,0.01061705,0.080556095,0.020009801,0.31901994300000003,-0.42633462,-0.881002903,-0.30148232,-0.22230811399999997,0.625588775,0.24965584300000002,0.49345085,0.074180864,0.522729039,-0.079148419,0.15467160900000002,-0.520630419,-0.294962645,-0.420823395,-0.079809435,-0.417238355,-0.203642711,-0.33028566800000003,0.525584519,-0.811827838,-0.421147645,-0.020948486000000002,0.166703925,-1.3425096269999999,0.16928783100000003,0.11784059599999999,0.30661863100000003,-0.030037392000000003,-0.41947379700000004,0.546462715,0.596984804,-0.280781418,0.542566717,4.52381e+17,bad smell bad smells everywhere,,"Central Region, Singapore",,-0.7906
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52396e+17,twg milk oolong really not bad leh love the smell of the milk based tea but subtle and light milk http instagram compmz7zwutbky,,"Central Region, Singapore",,-0.0309
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52442e+17,this smell i like,,"East Region, Singapore",,0.3612
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52614e+17,smell something so nice at the mrt here darn hungry  ,,"East Region, Singapore",,0.5598
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5265e+17,but its the smell of scotch whiskey for sure,,"West Region, Singapore",,0.4497
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52654e+17,this kind of things must chemical wash la or else it will continue to smell like a dead rat in my car,,"East Region, Singapore",,-0.4215
car,-0.5707023139999999,-0.554077029,-1.020359397,-0.023014633,-0.232378483,-0.029271292,0.578195095,-0.057558622000000004,0.8489910959999999,-0.093823515,0.450703591,0.36079558700000003,-4.403287411,-0.04104029,0.835680127,1.12189126,-0.37219473700000005,-0.282198668,-1.4439494609999999,0.303561568,-0.13306406099999998,-0.8373774890000001,0.101782925,-0.517591715,-0.7797272209999999,-0.163606375,-1.272805572,0.404625833,-0.35354948,0.253960073,-0.7862147690000001,-0.078399405,-0.40894684200000003,-0.481707871,0.7741215229999999,0.931871653,-0.183730543,0.14132180800000002,0.564399481,-0.248101696,-0.40777126,1.213643432,-0.893536508,0.051164337000000004,0.277669132,-0.127259299,0.378890842,0.444264948,0.670530915,0.189855203,4.52656e+17,the smell of the car headache,,"West Region, Singapore",,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52671e+17,why does my pillow suddenly smell like poo o o,,"West Region, Singapore",,0.3612
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52681e+17,hor this cabbie just smoked  i can smell u ,,"North-East Region, Singapore",,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52764e+17,i smell my mothers food,,"West Region, Singapore",,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52778e+17,smell liao heahache sia,,"Central Region, Singapore",,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52794e+17,smell like vanilla fav cigss down here,,"North-East Region, Singapore",,0.6705
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52994e+17,smell mcm bau tong sampah,,"North-East Region, Singapore",,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53007e+17,my mood so foul alr and your bloody smell still come out cb go away,,"North Region, Singapore",,-0.4404
finally,-0.186683312,0.34487956799999997,0.36279755799999996,-0.947714508,-0.666986227,0.039599545,1.3614567519999998,-0.10690639199999999,0.519168973,-0.09906914800000001,0.011499413,-0.019555893,-4.543214798,0.849797606,-0.349120021,-0.058290842999999995,-0.38905134799999996,0.663297713,-1.008832693,-0.287506551,0.041688967,0.18325009899999997,-0.31373420399999996,0.023835706,-0.225336924,0.958100796,-0.529547513,-0.649836421,0.8281841870000001,-0.051998086,-0.7105479840000001,0.580736816,-0.553911269,-0.28383711,0.13108678199999999,0.522458375,0.025252668,0.056519207,0.080128424,0.885578632,-0.299649626,0.17772890600000002,0.605237722,0.603166103,0.774662673,-0.890012383,-0.10453359,-0.450591147,-0.566538036,0.426442444,4.53054e+17,in school finally smell fresh air ,,"North Region, Singapore",,0.3182
